# Chado database date: 2024-09-30 21:55
gene_systematic_id	gene_name	synonyms	gene_product
SPNCRNA.100			non-coding RNA
SPNCRNA.1000			non-coding RNA, possible alternative UTR
SPNCRNA.1001			non-coding RNA
SPNCRNA.1002			non-coding RNA
SPNCRNA.1003			non-coding RNA
SPNCRNA.1004			non-coding RNA, possible alternative UTR
SPNCRNA.1005			non-coding RNA
SPNCRNA.1006			non-coding RNA
SPNCRNA.1007			non-coding RNA
SPNCRNA.1008			non-coding RNA
SPNCRNA.1009			non-coding RNA
SPNCRNA.1010			non-coding RNA
SPNCRNA.1011			non-coding RNA
SPNCRNA.1012			non-coding RNA
SPNCRNA.1013			non-coding RNA, possible alternative UTR
SPNCRNA.1014			non-coding RNA
SPNCRNA.1015			non-coding RNA
SPNCRNA.1016			non-coding RNA
SPNCRNA.1017			non-coding RNA
SPNCRNA.1018			non-coding RNA, possible alternative UTR
SPNCRNA.1019			non-coding RNA, possible alternative UTR
SPNCRNA.102			non-coding RNA
SPNCRNA.1020			non-coding RNA
SPNCRNA.1021			non-coding RNA
SPNCRNA.1022			non-coding RNA
SPNCRNA.1023			non-coding RNA, possible alternative UTR
SPNCRNA.1024			non-coding RNA, possible alternative UTR
SPNCRNA.1025			non-coding RNA, possible alternative UTR
SPNCRNA.1026			non-coding RNA
SPNCRNA.1027			non-coding RNA
SPNCRNA.1028			non-coding RNA
SPNCRNA.1029			non-coding RNA
SPNCRNA.103	sme2	SPNCRNA.1341,nam4,meiRNA-L,sme2-L,SPNCRNA.4675	meiosis specific Smp foci lncRNA Sme2 (meiRNA), long isoform
SPNCRNA.1030			non-coding RNA
SPNCRNA.1031			non-coding RNA
SPNCRNA.1032		SPNG919,SPNCRNA.254	non-coding RNA, possibly a small ncRNA
SPNCRNA.1033			non-coding RNA
SPNCRNA.1034			non-coding RNA
SPNCRNA.1035			non-coding RNA
SPNCRNA.1036			non-coding RNA
SPNCRNA.1037		SPNG2AF7,SPNCRNA.564	non-coding RNA
SPNCRNA.1039			non-coding RNA
