Q10269	SPAC13G7.05	are1
Q10270	SPAC13G7.06	met16
Q10271	SPAC13G7.07	arb2
Q10272	SPAC13G7.08c	crb3
Q10273	SPAC13G7.09c	-
Q10274	SPAC13G7.10	teb1
Q10275	SPAC13G7.11	mba1
Q10276	SPAC13G7.12c	eki1
Q10277	SPAC13G7.13c	msa1
P21911	SPAC140.01	sdh2
P41891	SPAC140.02	gar2
Q9P7B8	SPAC140.03	arb1
Q9P7B7	SPAC140.04	ctr1
Q9UTM5	SPAC1420.01c	mks1
Q9UTM4	SPAC1420.02c	cct5
P0CU17	SPAC1420.03	rpn501
Q9UTM2	SPAC1420.04c	cox1101
Q9UTM1	SPAC144.01	-
Q9UTM0	SPAC144.02	iec1
Q02787	SPAC144.03	ade2
Q9UQW9	SPAC144.04c	spe1
Q9UTL9	SPAC144.05	irc20
Q9UTL8	SPAC144.06	apl5
Q9UTL7	SPAC144.07c	gpn2
Q9UTL6	SPAC144.08	jac1
Q9UTL5	SPAC144.09c	sfc2
Q9UTL4	SPAC144.10c	gwt1
P0CT74	SPAC144.11	rps1102
Q9UTL3	SPAC144.12	rki1
O13286	SPAC144.13c	srw1
Q9UTL2	SPAC144.14	klp8
Q9UTL1	SPAC144.15c	cog1
Q9UTL0	SPAC144.16	cia2
Q9UTK9	SPAC144.17c	-
Q9UTK8	SPAC144.18	vrg4
Q9UQX0	SPAC1486.01	sod2
Q9UTK7	SPAC1486.02c	dsc2
Q9UTK6	SPAC1486.03c	ntr1
Q9UTK5	SPAC1486.04c	alm1
Q9UTK4	SPAC1486.05	nup189
Q9UTK3	SPAC1486.06	npt1
Q9UTK2	SPAC1486.07c	mrpl19
Q9UTK1	SPAC1486.08	cox16
Q9UTK0	SPAC1486.09	nob1
P36598	SPAC1486.10	thi1
G2TRM0	SPAC1486.11	fmc1
O13709	SPAC14C4.01c	atg43
O13710	SPAC14C4.02c	smc5
Q10292	SPAC14C4.03	mek1
O13711	SPAC14C4.04	-
O13712	SPAC14C4.05c	man1
O13713	SPAC14C4.06c	nab2
O13714	SPAC14C4.07	-
O13715	SPAC14C4.08	mug5
O13716	SPAC14C4.09	agn1
O13717	SPAC14C4.10c	-
O13718	SPAC14C4.11	vtc2
O13719	SPAC14C4.12c	laf1
P50531	SPAC14C4.13	rad17
P24487	SPAC14C4.14	atp1
Q9P7E9	SPAC14C4.15c	dpp1
P62505	SPAC14C4.16	dad3
Q09854	SPAC1527.01	mok11
Q9P6K1	SPAC1527.02	sft2
Q9P6K0	SPAC1527.03	slr1
Q9UTJ8	SPAC1556.01c	rad50
Q9UTJ7	SPAC1556.02c	sdh1
Q09189	SPAC1556.03	azr1
Q09190	SPAC1556.04c	cdd1
Q9UTJ4	SPAC1556.05c	cgr1
Q9UTJ3	SPAC1556.06	meu1
Q9UTJ2	SPAC1556.07	pmm1
Q10343	SPAC1556.08c	cbs2
Q9P3B2	SPAC1565.01	rcf2
Q9P3B1	SPAC1565.02c	rga10
Q9P3B0	SPAC1565.03	-
P36622	SPAC1565.04c	ste4
Q9P3A9	SPAC1565.05	utp8
P87027	SPAC1565.06c	spg1
Q9P3A8	SPAC1565.07c	knd1
Q9P3A7	SPAC1565.08	cdc48
O14286	SPAC15A10.01	atm1
O13722	SPAC15A10.02	taf12
P41410	SPAC15A10.03c	rad54
O13724	SPAC15A10.04c	zpr1
O13725	SPAC15A10.05c	mug182
O13726	SPAC15A10.06	-
O13727	SPAC15A10.07	-
O13728	SPAC15A10.08	ain1
O13729	SPAC15A10.09c	pun1
O13730	SPAC15A10.10	mde6
O13731	SPAC15A10.11	ubr11
O13732	SPAC15A10.12c	tca17
O13733	SPAC15A10.13	ppk3
O13734	SPAC15A10.15	sgo2
O13735	SPAC15A10.16	bud6
G2TRM8	SPAC15A10.17	coa2
Q9UTI9	SPAC15E1.02c	-
Q9UTI8	SPAC15E1.03	rpl42
Q9UTI7	SPAC15E1.04	hal3
Q9UTI6	SPAC15E1.05c	ect1
Q9UTI5	SPAC15E1.06	vps29
Q9UTI4	SPAC15E1.07c	moa1
Q9UTI3	SPAC15E1.08	naa10
Q9UTI2	SPAC15E1.09	grx2
Q9UTI1	SPAC15E1.10	fub1
Q10098	SPAC15F9.01c	glm1
Q10099	SPAC15F9.02	seh1
Q10100	SPAC15F9.03c	nxt2
Q10133	SPAC16.01	rho2
P78814	SPAC16.02c	srp2
Q9UTI0	SPAC16.03c	ura2
Q9UTH9	SPAC16.04	dus3
Q9UTH8	SPAC16.05c	sfp1
O13777	SPAC1610.01	saf5
Q9P6M9	SPAC1610.02c	mrpl1
Q9P6M8	SPAC1610.03c	crp79
Q9P6M7	SPAC1610.04	mmc1
Q9P544	SPAC1635.01	por1
Q7LKX0	SPAC1639.01c	elo1
Q10065	SPAC1639.02c	trk2
O94537	SPAC167.01	ire1
P46960	SPAC167.02	ptb1
O94538	SPAC167.03c	snu66
O94539	SPAC167.04	pam17
P87132	SPAC167.05	dbs2
P87133	SPAC167.06c	mug143
Q1K9C4	SPAC167.07c	hul5
P0CT35	SPAC167.08	Tf2-2
C6Y4B3	SPAC167.09	pga1
Q09177	SPAC1687.01	rpc19
O94448	SPAC1687.02	rce1
O94449	SPAC1687.03c	rfc4
O94450	SPAC1687.04	mcb1
O94451	SPAC1687.05	pli1
O14069	SPAC1687.06c	rpl44
O14068	SPAC1687.07	-
O14067	SPAC1687.08	-
O14066	SPAC1687.09	irs4
O94452	SPAC1687.10	mcp1
O42832	SPAC1687.11	spb1
O94453	SPAC1687.12c	coq4
O94454	SPAC1687.13c	csn5
O94455	SPAC1687.14c	-
Q10452	SPAC1687.15	gsk3
O94457	SPAC1687.16c	erg31
O94458	SPAC1687.17c	-
O94459	SPAC1687.18c	ssl3
O94460	SPAC1687.19c	qtr1
P87227	SPAC1687.20c	mis6
O94461	SPAC1687.21	-
O94462	SPAC1687.22c	puf3
Q9C118	SPAC1687.23c	-
P87293	SPAC16A10.01	-
P87294	SPAC16A10.02	sub1
P87295	SPAC16A10.03c	-
Q874R1	SPAC16A10.04	rho4
P87297	SPAC16A10.05c	dad1
Q4PIR3	SPAC16A10.06c	nse2
P79005	SPAC16A10.07c	taz1
P87299	SPAC16A10.08c	mug74
Q09839	SPAC16C9.01c	-
Q09816	SPAC16C9.02c	mta1
Q09817	SPAC16C9.03	nmd3
Q09818	SPAC16C9.04c	mot2
Q09819	SPAC16C9.05	cph1
Q09820	SPAC16C9.06c	upf1
Q09815	SPAC16C9.07	pom2
O13736	SPAC16E8.01	shd1
O13737	SPAC16E8.02	mpo1
O13738	SPAC16E8.03	gna1
O13739	SPAC16E8.04c	aro7
O13740	SPAC16E8.05c	-
O13741	SPAC16E8.06c	nop12
O13742	SPAC16E8.07c	vph1
O13743	SPAC16E8.08	pos1
P40995	SPAC16E8.09	scd1
O13744	SPAC16E8.10c	rsm7
O13745	SPAC16E8.11c	tfb1
Q9C117	SPAC16E8.12c	png3
O13747	SPAC16E8.13	-
O13748	SPAC16E8.14c	tae1
P78954	SPAC16E8.15	tif45
O13749	SPAC16E8.16	sua7
O13750	SPAC16E8.17c	sca1
O13746	SPAC16E8.18	-
G2TRM7	SPAC16E8.18c	tam5
Q9UTF0	SPAC1705.02	-
O13960	SPAC1705.03c	ecm33
O14367	SPAC1751.01c	gti1
Q9US30	SPAC1751.02c	rsm19
Q09722	SPAC1751.03	tif313
Q8TFI0	SPAC1751.04	loc1
Q9P7H8	SPAC1782.01	ecm29
Q9P7H7	SPAC1782.02c	-
Q9P7H6	SPAC1782.03	saf3
Q9P7H5	SPAC1782.04	cox24
Q9P7H4	SPAC1782.05	ypa2
Q9P7H3	SPAC1782.06c	phb1
P50523	SPAC1782.07	qcr8
Q9P7H2	SPAC1782.08c	rex3
Q9P7H1	SPAC1782.09c	clp1
Q9P7H0	SPAC1782.10c	nhp2
Q9P7G9	SPAC1782.11	met14
Q9P7G8	SPAC1782.12c	-
Q9US28	SPAC1783.01	-
Q9US27	SPAC1783.02c	vps66
Q9US26	SPAC1783.03	fta2
Q9UR39	SPAC1783.04c	hst4
Q9US25	SPAC1783.05	hrp1
Q9US24	SPAC1783.06c	atg12
Q01663	SPAC1783.07c	pap1
Q9US22	SPAC1783.08c	rpl1502
O14115	SPAC1786.01c	ptl2
Q9UTH5	SPAC1786.02	plb2
O13961	SPAC1786.03	cut11
Q9C116	SPAC1786.04	-
P33532	SPAC17A2.01	bsu1
O13752	SPAC17A2.02c	tlc4
O13753	SPAC17A2.03c	vma6
O13754	SPAC17A2.04c	cns1
O13755	SPAC17A2.05	osm1
O13756	SPAC17A2.06c	vps8
O13757	SPAC17A2.07c	-
O13758	SPAC17A2.08c	ntr2
O13759	SPAC17A2.09c	csx1
O13760	SPAC17A2.10c	-
O13761	SPAC17A2.11	-
O13762	SPAC17A2.12	rrp1
P42657	SPAC17A2.13c	rad25
O13779	SPAC17A2.14	mnr2
O13764	SPAC17A5.01	pex6
O13765	SPAC17A5.02c	dbr1
P40372	SPAC17A5.03	rpl301
O13766	SPAC17A5.04c	mde10
O13767	SPAC17A5.05c	-
O13768	SPAC17A5.06	ptr8
O13769	SPAC17A5.07c	ulp2
O13770	SPAC17A5.08	erp2
O13771	SPAC17A5.09c	glc8
O13772	SPAC17A5.10	hua1
P40384	SPAC17A5.11	rec12
O13773	SPAC17A5.12	ucp7
O13774	SPAC17A5.13	fol2
P40383	SPAC17A5.14	exo2
O13775	SPAC17A5.15c	gus1
O13776	SPAC17A5.16	ftp105
Q9C115	SPAC17A5.18c	rec25
G2TRK1	SPAC17A5.19	-
P10505	SPAC17C9.01c	nuc2
Q10474	SPAC17C9.02c	lys7
Q10475	SPAC17C9.03	tif471
Q10477	SPAC17C9.05c	pmc3
Q10478	SPAC17C9.06	sam50
Q10479	SPAC17C9.07	alg8
Q10480	SPAC17C9.08	pnu1
Q10481	SPAC17C9.09c	tim13
Q10482	SPAC17C9.10	stm1
Q10483	SPAC17C9.11c	-
Q10484	SPAC17C9.12	scs22
P38937	SPAC17C9.13c	cut8
Q10485	SPAC17C9.14	pex19
Q10486	SPAC17C9.15c	dhm2
Q10487	SPAC17C9.16c	mfs1
P78798	SPAC17D4.01	pex7
O74113	SPAC17D4.02	cdc45
Q9HGQ3	SPAC17D4.03c	cis4
Q9HGQ2	SPAC17D4.04	trm401
O13780	SPAC17G6.02c	tco1
O13781	SPAC17G6.03	-
O13782	SPAC17G6.04c	cpp1
O13783	SPAC17G6.05c	bro1
O13784	SPAC17G6.06	rps2401
O13785	SPAC17G6.07c	use1
O13786	SPAC17G6.08	pep7
O13787	SPAC17G6.09	sec62
O13788	SPAC17G6.10	ssr1
O13789	SPAC17G6.11c	ghs2
O13790	SPAC17G6.12	cul1
O13791	SPAC17G6.13	slt1
O13792	SPAC17G6.14c	uap56
O13793	SPAC17G6.15c	fsf1
O13794	SPAC17G6.16c	ysh1
O13795	SPAC17G6.17	pof8
Q10313	SPAC17G8.01c	trl1
Q10314	SPAC17G8.02	urh2
Q10315	SPAC17G8.03c	bur6
Q10316	SPAC17G8.04c	arc5
Q10317	SPAC17G8.05	med20
Q10318	SPAC17G8.06c	ilv3
Q10319	SPAC17G8.07	yaf9
Q10320	SPAC17G8.08c	gdt2
Q10321	SPAC17G8.09	shg1
Q10322	SPAC17G8.10c	dma1
Q10323	SPAC17G8.11c	imt3
Q10324	SPAC17G8.12	sec3
Q10325	SPAC17G8.13c	mst2
P36582	SPAC17G8.14c	pck1
G2TRL2	SPAC17G8.15	wip1
O13798	SPAC17H9.01	cid16
O13799	SPAC17H9.02	mtl1
O13800	SPAC17H9.03c	rdl1
O13801	SPAC17H9.04c	dri1
O13802	SPAC17H9.05	ebp2
O13803	SPAC17H9.06c	-
O13804	SPAC17H9.07	srp21
O13805	SPAC17H9.08	leu5
P08647	SPAC17H9.09c	ras1
O13807	SPAC17H9.10c	ddb1
O13808	SPAC17H9.11	gmf1
O13809	SPAC17H9.12c	cyc2
O13810	SPAC17H9.13c	pro2
O13811	SPAC17H9.14c	pdi2
O13813	SPAC17H9.16	tom22
O13814	SPAC17H9.17c	mdm10
O13815	SPAC17H9.18c	-
Q10990	SPAC17H9.19c	cdt2
O13816	SPAC17H9.20	psc3
Q9UTH3	SPAC1805.01c	ppk6
Q9UTH2	SPAC1805.02c	etf2
Q9UTH1	SPAC1805.03c	trm13
Q9UTH0	SPAC1805.04	nup132
O74135	SPAC1805.05	cki3
P78974	SPAC1805.06c	hem2
Q9UTG8	SPAC1805.07c	dad2
Q9UTS6	SPAC1805.08	dlc1
Q9UTG6	SPAC1805.09c	fmt1
Q9UTG5	SPAC1805.10	ccz1
Q9UTG4	SPAC1805.11c	rps2602
P0CH07	SPAC1805.12c	ubi2
O94238	SPAC1805.13	rpl14
Q9UTG3	SPAC1805.14	-
Q9UTG2	SPAC1805.15c	pub2
Q9UTG1	SPAC1805.16c	-
P14068	SPAC1805.17	crm1
G2TRL5	SPAC1805.18	pop6
P79063	SPAC1834.01	erf1
Q9P7R0	SPAC1834.02	aro1
P09322	SPAC1834.03c	hhf1
P09988	SPAC1834.04	hht1
Q9P7Q9	SPAC1834.05	alg9
Q9P7Q8	SPAC1834.06c	pmo25
Q9US60	SPAC1834.07	klp3
Q9P7Q7	SPAC1834.08	mak1
Q9P7Q6	SPAC1834.09	mug51
Q9P7Q5	SPAC1834.10c	-
Q9P7Q4	SPAC1834.11c	sec18
G2TRJ7	SPAC1834.13	-
Q9US20	SPAC1851.02	slc1
P40232	SPAC1851.03	ckb1
O42656	SPAC1851.04c	ric1
Q9P7Q2	SPAC186.01	pfl9
Q9P7Q1	SPAC186.02c	-
P87015	SPAC186.03	-
G2TRL1	SPAC186.04c	-
Q9P7Q0	SPAC186.05c	gdt1
Q9P7P9	SPAC186.06	-
Q9P7P8	SPAC186.07c	-
Q9P7P7	SPAC186.08c	ldh1
Q9P7P6	SPAC186.09	pdc102
Q09709	SPAC18B11.02c	pus9
Q09710	SPAC18B11.03c	-
Q09711	SPAC18B11.04	ncs1
Q09712	SPAC18B11.05	gpi18
Q09713	SPAC18B11.06	lcp5
P23566	SPAC18B11.07c	rhp6
Q09714	SPAC18B11.08c	pat10
Q09707	SPAC18B11.09c	-
Q09715	SPAC18B11.10	tup11
Q09716	SPAC18B11.11	-
Q10102	SPAC18G6.01c	aim18
Q10103	SPAC18G6.02c	chp1
P17610	SPAC18G6.03	ypt3
Q10104	SPAC18G6.04c	shm2
Q10105	SPAC18G6.05c	gcn1
Q10106	SPAC18G6.06	utp11
Q10107	SPAC18G6.07c	mra1
Q10108	SPAC18G6.09c	edc1
Q10109	SPAC18G6.10	lem2
Q10110	SPAC18G6.11c	rrn3
Q10111	SPAC18G6.12c	-
Q10112	SPAC18G6.13	-
Q10101	SPAC18G6.14c	rps7
Q10113	SPAC18G6.15	mal3
O13883	SPAC1952.01	gab1
Q9UUK4	SPAC1952.02	tma23
Q9UUK3	SPAC1952.03	otu2
Q8J1M8	SPAC1952.04c	-
Q9UUK2	SPAC1952.05	gcn5
Q9UUK1	SPAC1952.06c	-
P22193	SPAC1952.07	rad1
Q9UUK0	SPAC1952.08c	-
Q9UUJ9	SPAC1952.09c	ach1
Q9UUJ8	SPAC1952.10c	-
O00084	SPAC1952.11c	ure2
Q9UUJ7	SPAC1952.12c	csn71
Q9UUJ6	SPAC1952.13	ned1
Q9UUJ5	SPAC1952.14c	mrpl25
Q9UUJ4	SPAC1952.15c	rec24
Q9UUJ3	SPAC1952.16	rga9
Q9URY3	SPAC1952.17c	tbc13
O13817	SPAC19A8.01c	sec73
